Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec),Trial
Decision Tree Classifier,0.9016,0.8113,0.9394,0.9453,0.9422,0.6103,0.6131,0.115,17
Dummy Classifier,0.8528,0.5,1.0,0.8528,0.9205,0.0,0.0,0.099,17
Naive Bayes,0.7969,0.7184,0.8298,0.9245,0.8739,0.3549,0.3702,0.096,17
Linear Discriminant Analysis,0.718,0.5941,0.7406,0.9124,0.8171,0.2269,0.2526,0.41,17
Quadratic Discriminant Analysis,0.589,0.76,0.5426,0.9575,0.6915,0.1975,0.2848,0.378,17
Logistic Regression,0.9302,0.9523,0.9706,0.9491,0.9596,0.7044,0.7102,0.103,18
K Neighbors Classifier,0.9288,0.9205,0.9698,0.9483,0.9587,0.6988,0.7053,0.101,18
Random Forest Classifier,0.9281,0.9411,0.9837,0.9357,0.9589,0.6729,0.6933,0.24,18
Extra Trees Classifier,0.924,0.9304,0.973,0.9404,0.9562,0.6661,0.6779,0.27,18
Gradient Boosting Classifier,0.9219,0.932,0.9788,0.933,0.9552,0.6476,0.6635,0.591,18
Ridge Classifier,0.9177,0.9315,0.9599,0.9449,0.9521,0.657,0.6652,0.122,18
SVM - Linear Kernel,0.9107,0.9288,0.9517,0.9453,0.9478,0.6307,0.6457,0.098,18
Ada Boost Classifier,0.9079,0.8903,0.9648,0.9304,0.9471,0.5922,0.6047,0.255,18
Decision Tree Classifier,0.8849,0.7833,0.9272,0.9376,0.932,0.5523,0.5578,0.116,18
Dummy Classifier,0.8528,0.5,1.0,0.8528,0.9205,0.0,0.0,0.09,18
Naive Bayes,0.7648,0.7014,0.7913,0.9227,0.8507,0.3023,0.3264,0.095,18
Linear Discriminant Analysis,0.7118,0.5962,0.7364,0.9086,0.8126,0.21,0.2349,0.412,18
Quadratic Discriminant Analysis,0.5994,0.7715,0.5581,0.9526,0.7004,0.2049,0.2847,0.362,18
Random Forest Classifier,0.9323,0.9509,0.9877,0.9366,0.9614,0.6872,0.7065,0.254,19
Extra Trees Classifier,0.9323,0.9452,0.9812,0.9421,0.9611,0.6985,0.7098,0.261,19
K Neighbors Classifier,0.9288,0.9489,0.9673,0.9504,0.9586,0.7029,0.7078,0.107,19
Gradient Boosting Classifier,0.9253,0.938,0.9853,0.9314,0.9575,0.6514,0.6721,0.607,19
SVM - Linear Kernel,0.924,0.9406,0.9648,0.9475,0.9559,0.6791,0.6837,0.106,19
Logistic Regression,0.9225,0.9477,0.973,0.9387,0.9554,0.6602,0.6709,0.119,19
Ridge Classifier,0.9177,0.9271,0.9583,0.946,0.952,0.6611,0.6627,0.138,19
Ada Boost Classifier,0.9044,0.8988,0.9583,0.9317,0.9447,0.5918,0.5976,0.266,19
Decision Tree Classifier,0.8981,0.7938,0.9419,0.9391,0.9403,0.5902,0.5933,0.13,19
Dummy Classifier,0.8528,0.5,1.0,0.8528,0.9205,0.0,0.0,0.098,19
Naive Bayes,0.8228,0.7352,0.8592,0.9286,0.892,0.3942,0.4073,0.103,19
Linear Discriminant Analysis,0.725,0.6508,0.739,0.9233,0.8204,0.2617,0.2938,0.429,19
Quadratic Discriminant Analysis,0.6014,0.8282,0.5514,0.9687,0.6995,0.2206,0.3166,0.402,19
Logistic Regression,0.9288,0.9474,0.9746,0.9439,0.9589,0.6916,0.6994,0.118,20
K Neighbors Classifier,0.9288,0.9205,0.9681,0.9497,0.9587,0.6999,0.7031,0.103,20
Ridge Classifier,0.9274,0.9363,0.9656,0.9502,0.9577,0.7,0.7043,0.124,20
Random Forest Classifier,0.9274,0.9401,0.9828,0.9354,0.9585,0.6698,0.6838,0.242,20
Extra Trees Classifier,0.9232,0.9297,0.9763,0.9365,0.9559,0.6579,0.6681,0.254,20
Gradient Boosting Classifier,0.919,0.9326,0.9779,0.9309,0.9537,0.6301,0.6449,0.598,20
SVM - Linear Kernel,0.9184,0.9289,0.9615,0.9441,0.9526,0.6564,0.6611,0.106,20
Ada Boost Classifier,0.9156,0.895,0.9656,0.9374,0.9512,0.6367,0.6426,0.272,20
Decision Tree Classifier,0.8946,0.7891,0.9386,0.938,0.9381,0.5807,0.5833,0.117,20
Dummy Classifier,0.8528,0.5,1.0,0.8528,0.9205,0.0,0.0,0.081,20
Naive Bayes,0.8053,0.7289,0.8371,0.9278,0.8796,0.3723,0.3876,0.088,20
Linear Discriminant Analysis,0.7264,0.6408,0.7487,0.9149,0.823,0.2433,0.2686,0.409,20
Quadratic Discriminant Analysis,0.5409,0.7649,0.4877,0.9493,0.6423,0.1568,0.241,0.358,20
Logistic Regression,0.9288,0.9528,0.973,0.9455,0.9589,0.6938,0.7031,0.104,21
Ridge Classifier,0.9288,0.9302,0.9632,0.9541,0.9584,0.7104,0.7154,0.114,21
Random Forest Classifier,0.9247,0.9466,0.9779,0.9366,0.9568,0.6637,0.6748,0.255,21
Gradient Boosting Classifier,0.9233,0.9357,0.982,0.932,0.9562,0.6469,0.6669,0.593,21
Extra Trees Classifier,0.9226,0.9286,0.973,0.9386,0.9554,0.6601,0.6686,0.279,21
Ada Boost Classifier,0.9177,0.9237,0.964,0.9412,0.9523,0.6493,0.6554,0.257,21
K Neighbors Classifier,0.9177,0.9391,0.9591,0.9454,0.952,0.6593,0.6641,0.115,21
SVM - Linear Kernel,0.9093,0.9335,0.9443,0.9494,0.9467,0.6409,0.6439,0.119,21
Decision Tree Classifier,0.8988,0.8022,0.9395,0.942,0.9405,0.5989,0.6018,0.132,21
